               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.014559,           0.0094902,           0.0070744,             0.95446,             0.95276,             0.96625,             0.81777,           0.0060617,           0.0032183,          0.00089254,           0.0093961,           0.0093961,           0.0093961
                  63,            0.014483,           0.0095086,           0.0069093,             0.95621,              0.9478,             0.96579,             0.81999,           0.0061597,           0.0031981,          0.00088861,           0.0093862,           0.0093862,           0.0093862
                  64,            0.014313,           0.0096274,           0.0065557,             0.96146,             0.95106,             0.96646,              0.8224,             0.00609,           0.0031838,           0.0011433,           0.0093763,           0.0093763,           0.0093763
                  65,            0.015536,           0.0094753,           0.0066434,             0.95319,              0.9555,             0.96739,             0.82094,           0.0059402,            0.003204,          0.00084704,           0.0093664,           0.0093664,           0.0093664
                  66,            0.014487,           0.0094007,           0.0064888,             0.95668,             0.95442,             0.96677,             0.82359,           0.0059984,           0.0031858,          0.00077358,           0.0093565,           0.0093565,           0.0093565
                  67,            0.013671,           0.0094254,           0.0067952,              0.9608,             0.94537,             0.96759,             0.82559,           0.0062401,           0.0031773,          0.00077136,           0.0093466,           0.0093466,           0.0093466
                  68,            0.014604,           0.0096764,           0.0069335,              0.9571,             0.95308,             0.96778,             0.82189,             0.00605,            0.003205,          0.00089485,           0.0093367,           0.0093367,           0.0093367
                  69,            0.013964,           0.0093045,           0.0070383,             0.96121,             0.95152,             0.96712,             0.82417,            0.006182,           0.0031944,          0.00088453,           0.0093268,           0.0093268,           0.0093268
                  70,            0.014037,            0.009412,           0.0064712,             0.96024,             0.95243,             0.96805,             0.82603,           0.0060056,            0.003172,          0.00081683,           0.0093169,           0.0093169,           0.0093169
                  71,            0.013833,           0.0093639,           0.0061938,             0.95817,             0.95789,             0.96735,             0.82663,           0.0059286,           0.0031599,          0.00073489,            0.009307,            0.009307,            0.009307
                  72,             0.01423,           0.0092169,           0.0071297,             0.95823,             0.95009,             0.96563,              0.8233,           0.0060526,           0.0031541,          0.00076527,           0.0092971,           0.0092971,           0.0092971
                  73,            0.014089,           0.0093694,           0.0067219,             0.95973,             0.95371,             0.96791,             0.82621,           0.0060053,           0.0031602,          0.00081604,           0.0092872,           0.0092872,           0.0092872
                  74,            0.014666,           0.0094753,           0.0066463,             0.95717,             0.95466,             0.96791,             0.82538,           0.0060945,           0.0031465,          0.00087763,           0.0092773,           0.0092773,           0.0092773
                  75,            0.014294,           0.0096234,           0.0069287,             0.95844,             0.95527,             0.96826,             0.82455,           0.0058186,           0.0031517,          0.00084139,           0.0092674,           0.0092674,           0.0092674
                  76,            0.014133,           0.0094904,           0.0064543,             0.96306,             0.95331,             0.96791,             0.82435,           0.0059346,           0.0031617,          0.00086432,           0.0092575,           0.0092575,           0.0092575
                  77,            0.014138,            0.009372,           0.0066931,             0.95797,             0.95896,             0.96723,             0.82363,           0.0059166,           0.0031788,           0.0012502,           0.0092476,           0.0092476,           0.0092476
                  78,            0.014195,           0.0093141,           0.0064463,             0.96108,             0.95635,             0.96697,             0.82365,           0.0058861,           0.0031483,           0.0013282,           0.0092377,           0.0092377,           0.0092377
